No,ID,Nama,Kalori,Karbohidrat,Protein,Lemak,Jenis,Rating
317,,Mie Kering,674,100,15.8,23.6,Serealia,2.4
318,AP088,Mie Pangsit Basah,210,18.8,11.8,9.8,Serealia,3.45
319,BP051,Mie Sagu,380,93,0.4,0.8,Umbi Berpati,3.72
320,,Nakji Bokkeum,496,81.8,20,4.6,Ikan dan Makanan Laut,2.92
321,,Nanas,104,27.4,0.8,0.4,Buah,2.66
322,ER070,Nanas ,80,19.8,1.2,0.6,Buah,3.08
323,ER069,Nanas Palembang ,116,26.6,1.4,0.4,Buah,3.89
324,ER071,Nangka,212,55.2,2.4,0.6,Buah,2.73
325,,Nasi,360,79.6,6,0.6,Serealia,3.48
326,,Nasi Beras Merah,298,65,5.6,0.8,Serealia,2.05
327,AR012,Nasi Tumbuk,708,159.8,15.6,0.8,Serealia,4.61
328,AP047,Emping Beras,806,170.6,21.2,4.4,Serealia,4.54
329,BP020,Nasi Ganyong,728,172.6,6.8,1.4,Umbi Berpati,3.22
330,AP089,Nasi Gemuk,384,48.8,7.6,17.6,Serealia,2.12
331,,Nasi Goreng,552,60.4,6.4,6.4,Serealia,4.37
332,AP090,Nasi Gurih,380,52,9.4,15,Serealia,2.93
333,AP009,Nasi Jagung,714,159,17.6,1,Serealia,2.16
334,AP092,Nasi Rames,310,38.2,20.6,8.4,Serealia,4.65
335,BP021,Nasi Siger,688,56.6,2.2,0.4,Umbi Berpati,4.21
336,AP003,Tapai Nasi,198,44.8,3.4,0.6,Serealia,4.8
337,,Nasi Tim,240,52,4.8,0.8,Serealia,3.66
338,,Nasi Uduk,506.6,23.4,8.6,42,Serealia,3.7
339,FP057,Nasu Likku ,392,31.8,29,16.6,Daging,4.81
340,,Oncom Goreng,726.6,80.6,38.6,38.6,Kacang-kacangan,3.72
341,,Oncom Hitam Goreng,568,27.2,24,28.8,Kacang-kacangan,2.02
342,,Oncom Hitam Goreng Bertepung,613.4,54,18,36,Kacang-kacangan,4.1
343,CP054,Pepes Oncom Kacang Tanah,264,27.4,25.4,7.6,Kacang-kacangan,4.86
344,,Oncom Merah Goreng,736,26.4,13.6,64,Kacang-kacangan,3.15
345,,Oncom Merah Goreng Bertepung,640,62,14.6,37.4,Kacang-kacangan,2.14
346,,Tumis Sayur Oncom Merah,80,6,4,4,Kacang-kacangan,2.25
347,,Oncom Pepes,152,21.2,10.4,3.6,Kacang-kacangan,3.03
348,AP094,Onde-Onde,672,115.8,8,19.6,Serealia,4.5
349,,Ongol-Ongol,230,28,3,12,Umbi Berpati,2.33
350,,Ongol-Ongol Sagu,222,42.4,0.6,5.4,Umbi Berpati,2.62
351,,Opak Singkong,1880,208,72,84,Umbi Berpati,4.7
352,FP058,Oramu Ninahu Ndawa Olaho ,234,8.6,27.4,10,Daging,3.77
353,FP052,Otak Kalio ,314,22.8,16.2,17.6,Daging,2.46
354,GP070,Pangasius Goreng,572,4.6,97,18.4,Ikan dan Makanan Laut,4.55
355,GP024,Pangasius Panggang,288,8.6,35,12.6,Ikan dan Makanan Laut,4.82
356,FP059,Paniki Masak Santan ,920,14.4,57,70.4,Daging,3.42
357,DP015,Pare Putih Kukus,32,6.8,1.6,0.4,Sayuran,4.83
